;Mã tin;Hướng;Phòng ăn;Loại tin;Đường trước nhà;Nhà bếp;Loại BDS;Pháp lý;Sân thượng;Chiều ngang;Số lầu;Chổ để xe hơi;Chiều dài;Số phòng ngủ;Chính chủ;Giá;Diện tích;Địa chỉ;Thuộc dự án;Unnamed: 0
9388;13363167;Tây Bắc;;Cần bán;6m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;3,6m;3;;---;3;---; 3,5 tỷ ; 65 m2; Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng;;
9389;13289643;_;;Cần bán;6m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;4m;4;;17m;4;---; 9,5 tỷ ; 68 m2; Đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, Hồ Chí Minh;;
9390;13297432;_;;Cần bán;10m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;5m;4;;15m;4;---; 9,4 tỷ ; 73 m2; Đường Số 3, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh;;
9391;11732364;_;;Cần bán;12m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;4,2m;5;;14,5m;5;---; 6,7 tỷ ; 58 m2; Đường Số 8, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh;;
9392;13112587;_;---;Cần bán;26m;---;Nhà mặt tiền;---;---;6m;4;---;9,3m;5;---; 15,99 tỷ ; 56 m2; Phố Trần Đại Nghĩa, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội;;
9393;13289326;_;---;Cần bán;6m;---;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;6,2m;---;---;---;6;---; 80 triệu / m2  ; 159 m2; Đường số 12, Phường Linh Tây, Thành phố Thủ Đức, Hồ Chí Minh;;
9394;13129514;_;---;Cần bán;5m;---;Nhà mặt tiền;---;---;3m;3;---;10m;4;---; 2,4 tỷ ; 30 m2; Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh;;
9395;13364303;_;---;Cần bán;20m;---;Nhà mặt tiền;---;---;5,5m;2;---;21m;5;---; 12 tỷ ; 100 m2; Đường Bùi Thị Xuân, Phường 2, Quận Tân Bình, Hồ Chí Minh;;
9396;13279780;Tây Nam;;Cần bán;8m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;12m;3;;8m;2;---; 7,5 tỷ ; 100 m2; Đường Đa Minh, Phường 5, Thành phố Đà Lạt, Lâm Đồng;;
9397;13294303;Đông Nam;;Cần bán;22m;;Nhà mặt tiền;---;;6m;1;;22m;2;---; 15,75 tỷ ; 125 m2; Đường Dã Tượng, Phường Vĩnh Nguyên, Thành phố Nha Trang, Khánh Hòa;;
9398;13215003;Đông Bắc;;Cần bán;10m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;6m;1;;18m;3;---; 3,7 tỷ ; 108 m2; Đường Nguyễn Chí Thanh, Phường Cam Nghĩa, Thành phố Cam Ranh, Khánh Hòa;;
9399;13246896;Đông;;Cần bán;22m;;Nhà mặt tiền;Giấy tờ hợp lệ;;8m;3;;18m;4;---; 15 tỷ ; 128 m2; Đường số 4, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa;Khu đô thị mới KVG The Capella(xem chi tiết dự án);
9400;13368804;Nam;;Cần bán;13m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;6m;3;;18m;6;---; 7,5 tỷ ; 108 m2; Đường B1, Xã Vĩnh Hiệp, Thành phố Nha Trang, Khánh Hòa;Khu đô thị mới Vĩnh Điềm Trung(xem chi tiết dự án);
9401;13365231;Tây;;Cần bán;7,5m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;15m;3;;17,5m;5;---; 27 tỷ ; 265 m2; Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng;;
9402;13367830;_;---;Cần bán;10m;---;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;4,2m;7;---;17m;10;---; 11 tỷ ; 70 m2; Đường Bùi Xương Trạch, Phường Khương Trung, Quận Thanh Xuân, Hà Nội;;
9403;13173633;_;---;Cần bán;2m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;3,9m;5;---;8m;3;---; 3,8 tỷ ; 35 m2; Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội;;
9404;13199840;_;---;Cần bán;3m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;4m;5;---;8m;3;---; 2,9 tỷ ; 30 m2; 466 Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội;;
9405;13367320;_;;Cần bán;3m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;4m;5;;4m;4;---; 7,2 tỷ ; 45 m2; Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội;;
9406;13366876;_;;Cần bán;3m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;3,6m;5;;12m;4;---; 4,15 tỷ ; 42 m2; Phố Huỳnh Thúc Kháng, Quận Ba Đình, Hà Nội;;
9407;13366843;_;;Cần bán;3,5m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;3,6m;5;;10m;3;---; 3,5 tỷ ; 36 m2; Đường Phạm Văn Đồng, Quận Cầu Giấy, Hà Nội;;
9408;13366529;_;;Cần bán;5,5m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;5m;4;;25m;4;---; 4,35 tỷ ; 125 m2; Đường Lỗ Giáng 11, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng;Khu đô thị mới Hoà Xuân - Dream Home(xem chi tiết dự án);
9409;13362990;Đông Nam;;Cần bán;1,5m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;3,6m;3;---;11m;3;---; 1,83 tỷ ; 41 m2; Đường Hồ Sen, Phường Hàng Kênh, Quận Lê Chân, Hải Phòng;;
9410;13362768;_;;Cần bán;16m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;5,2m;4;;---;4;---; 46 tỷ ; 190 m2; Phố Tôn Đức Thắng, Phường Cát Linh, Quận Đống Đa, Hà Nội;;
9411;13357850;_;---;Cần bán;10m;---;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;5,7m;5;---;13m;5;---; 15 tỷ ; 74 m2; Đường Tô Hiến Thành, Phường Đình Bảng, Thành phố Từ Sơn, Bắc Ninh;;
9412;13286771;_;---;Cần bán;4m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;3,6m;2;---;---;2;---; 2,35 tỷ ; 48 m2; Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội;;
9413;13357806;_;;Cần bán;3m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;3,61m;4;;14m;4;---; 7,3 tỷ ; 52 m2; Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội;;
9414;13129514;_;---;Cần bán;5m;---;Nhà mặt tiền;---;---;3m;3;---;10m;4;---; 2,4 tỷ ; 30 m2; Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh;;
9415;13364303;_;---;Cần bán;20m;---;Nhà mặt tiền;---;---;5,5m;2;---;21m;5;---; 12 tỷ ; 100 m2; Đường Bùi Thị Xuân, Phường 2, Quận Tân Bình, Hồ Chí Minh;;
9416;13279780;Tây Nam;;Cần bán;8m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;12m;3;;8m;2;---; 7,5 tỷ ; 100 m2; Đường Đa Minh, Phường 5, Thành phố Đà Lạt, Lâm Đồng;;
9417;13294303;Đông Nam;;Cần bán;22m;;Nhà mặt tiền;---;;6m;1;;22m;2;---; 15,75 tỷ ; 125 m2; Đường Dã Tượng, Phường Vĩnh Nguyên, Thành phố Nha Trang, Khánh Hòa;;
9418;13215003;Đông Bắc;;Cần bán;10m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;6m;1;;18m;3;---; 3,7 tỷ ; 108 m2; Đường Nguyễn Chí Thanh, Phường Cam Nghĩa, Thành phố Cam Ranh, Khánh Hòa;;
9419;13246896;Đông;;Cần bán;22m;;Nhà mặt tiền;Giấy tờ hợp lệ;;8m;3;;18m;4;---; 15 tỷ ; 128 m2; Đường số 4, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa;Khu đô thị mới KVG The Capella(xem chi tiết dự án);
9420;13368804;Nam;;Cần bán;13m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;6m;3;;18m;6;---; 7,5 tỷ ; 108 m2; Đường B1, Xã Vĩnh Hiệp, Thành phố Nha Trang, Khánh Hòa;Khu đô thị mới Vĩnh Điềm Trung(xem chi tiết dự án);
9421;13365231;Tây;;Cần bán;7,5m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;15m;3;;17,5m;5;---; 27 tỷ ; 265 m2; Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng;;
